cust_id,similar_custs
C0001,"[('C0085', np.float64(1.0)), ('C0042', np.float64(1.0)), ('C0089', np.float64(1.0))]"
C0002,"[('C0157', np.float64(1.0)), ('C0166', np.float64(1.0)), ('C0029', np.float64(1.0))]"
C0003,"[('C0111', np.float64(0.99)), ('C0160', np.float64(0.99)), ('C0147', np.float64(0.99))]"
C0004,"[('C0162', np.float64(1.0)), ('C0165', np.float64(1.0)), ('C0090', np.float64(1.0))]"
C0005,"[('C0080', np.float64(1.0)), ('C0167', np.float64(1.0)), ('C0177', np.float64(1.0))]"
C0006,"[('C0079', np.float64(1.0)), ('C0117', np.float64(1.0)), ('C0196', np.float64(0.99))]"
C0007,"[('C0146', np.float64(1.0)), ('C0125', np.float64(1.0)), ('C0061', np.float64(1.0))]"
C0008,"[('C0109', np.float64(1.0)), ('C0136', np.float64(1.0)), ('C0124', np.float64(1.0))]"
C0009,"[('C0015', np.float64(1.0)), ('C0131', np.float64(1.0)), ('C0193', np.float64(1.0))]"
C0010,"[('C0176', np.float64(1.0)), ('C0027', np.float64(0.99)), ('C0030', np.float64(0.98))]"
C0011,"[('C0139', np.float64(1.0)), ('C0100', np.float64(1.0)), ('C0023', np.float64(1.0))]"
C0012,"[('C0101', np.float64(1.0)), ('C0156', np.float64(1.0)), ('C0093', np.float64(1.0))]"
C0013,"[('C0067', np.float64(1.0)), ('C0138', np.float64(1.0)), ('C0141', np.float64(1.0))]"
C0014,"[('C0192', np.float64(1.0)), ('C0159', np.float64(1.0)), ('C0186', np.float64(1.0))]"
C0015,"[('C0009', np.float64(1.0)), ('C0131', np.float64(1.0)), ('C0120', np.float64(1.0))]"
C0016,"[('C0154', np.float64(1.0)), ('C0040', np.float64(1.0)), ('C0026', np.float64(0.99))]"
C0017,"[('C0075', np.float64(1.0)), ('C0179', np.float64(1.0)), ('C0039', np.float64(1.0))]"
C0018,"[('C0045', np.float64(1.0)), ('C0041', np.float64(1.0)), ('C0068', np.float64(1.0))]"
C0019,"[('C0142', np.float64(1.0)), ('C0174', np.float64(1.0)), ('C0055', np.float64(1.0))]"
C0020,"[('C0058', np.float64(1.0)), ('C0193', np.float64(1.0)), ('C0198', np.float64(1.0))]"
